iter	Passed	Remaining
0	118	117926
1	120	59903
2	121	40414
3	123	30724
4	124	24828
5	125	20852
6	126	18003
7	127	15843
8	128	14162
9	129	12822
10	130	11720
11	131	10800
12	131	10010
13	132	9334
14	133	8741
15	133	8234
16	134	7777
17	135	7375
18	135	7016
19	136	6693
20	137	6399
21	137	6134
22	138	5890
23	139	5665
24	139	5458
25	140	5268
26	141	5092
27	141	4928
28	142	4775
29	143	4630
30	143	4499
31	144	4381
32	145	4275
33	146	4174
34	149	4123
35	150	4031
36	151	3937
37	152	3871
38	153	3789
39	154	3712
40	155	3639
41	156	3567
42	157	3497
43	157	3431
44	158	3367
45	159	3304
46	160	3245
47	160	3188
48	161	3133
49	162	3094
50	163	3048
51	164	2997
52	165	2951
53	165	2906
54	166	2861
55	167	2818
56	167	2776
57	168	2737
58	169	2698
59	169	2660
60	170	2624
61	171	2590
62	171	2556
63	172	2523
64	173	2491
65	173	2460
66	174	2429
67	174	2397
68	175	2368
69	176	2345
70	177	2320
71	178	2295
72	178	2271
73	179	2245
74	180	2221
75	180	2197
76	181	2174
77	181	2151
78	182	2130
79	183	2107
80	183	2087
81	184	2067
82	185	2048
83	186	2029
84	186	2009
85	187	1995
86	188	1975
87	188	1957
88	189	1940
89	190	1924
90	190	1906
91	191	1890
92	192	1877
93	193	1861
94	193	1846
95	194	1831
96	195	1817
97	195	1802
98	196	1787
99	197	1773
100	197	1760
101	198	1744
102	198	1731
103	199	1718
104	200	1705
105	200	1693
106	201	1681
107	202	1669
108	202	1657
109	203	1645
110	204	1634
111	204	1623
112	205	1612
113	206	1601
114	206	1591
115	207	1580
116	207	1569
117	208	1561
118	209	1550
119	210	1541
120	210	1531
121	211	1522
122	211	1510
123	212	1500
124	213	1491
125	213	1482
126	214	1473
127	214	1463
128	215	1454
129	216	1446
130	216	1438
131	217	1429
132	218	1421
133	218	1414
134	219	1407
135	220	1399
136	220	1391
137	221	1383
138	222	1377
139	223	1370
140	223	1363
141	224	1356
142	225	1349
143	225	1342
144	226	1336
145	227	1329
146	227	1322
147	228	1315
148	229	1309
149	229	1302
150	230	1296
151	231	1290
152	231	1283
153	232	1277
154	233	1271
155	234	1266
156	234	1260
157	235	1255
158	236	1249
159	236	1243
160	237	1237
161	238	1232
162	238	1226
163	239	1220
164	240	1215
165	240	1209
166	241	1204
167	242	1198
168	242	1193
169	243	1188
170	244	1183
171	244	1178
172	245	1173
173	246	1167
174	246	1162
175	247	1157
176	247	1152
177	248	1149
178	249	1144
179	250	1139
180	250	1133
181	251	1128
182	251	1123
183	252	1119
184	253	1115
185	254	1112
186	254	1108
187	255	1103
188	256	1099
189	256	1095
190	257	1091
191	258	1086
192	258	1082
193	259	1078
194	260	1074
195	260	1070
196	261	1066
197	262	1062
198	263	1061
199	264	1057
200	264	1053
201	265	1049
202	266	1045
203	266	1041
204	267	1037
205	268	1034
206	269	1030
207	269	1027
208	270	1024
209	271	1020
210	272	1017
211	272	1014
212	273	1010
213	274	1007
214	274	1003
215	275	999
216	276	996
217	276	992
218	277	989
219	278	986
220	278	982
221	279	979
222	280	975
223	280	972
224	281	969
225	282	966
226	282	963
227	283	959
228	284	956
229	284	953
230	285	950
231	286	947
232	286	944
233	287	941
234	288	938
235	289	935
236	289	932
237	290	929
238	291	926
239	291	923
240	292	920
241	292	917
242	293	914
243	294	911
244	294	908
245	295	906
246	296	903
247	296	900
248	298	899
249	299	897
250	299	895
251	300	892
252	301	889
253	302	887
254	302	884
255	303	881
256	304	879
257	304	876
258	305	874
259	306	871
260	306	868
261	307	866
262	308	863
263	308	861
264	309	858
265	310	856
266	310	853
267	311	851
268	312	848
269	313	846
270	313	844
271	314	841
272	315	839
273	315	837
274	316	834
275	317	832
276	318	830
277	318	828
278	319	825
279	320	823
280	320	820
281	321	818
282	322	816
283	322	813
284	323	811
285	324	809
286	324	807
287	325	804
288	326	802
289	326	800
290	327	798
291	328	796
292	329	794
293	330	792
294	330	790
295	331	788
296	332	786
297	332	783
298	333	781
299	334	779
300	334	777
301	335	775
302	336	773
303	336	770
304	337	768
305	338	766
306	338	764
307	339	762
308	340	760
309	340	758
310	341	756
311	342	754
312	342	752
313	343	750
314	344	748
315	344	746
316	345	744
317	346	742
318	346	740
319	347	738
320	348	736
321	348	734
322	349	732
323	350	730
324	351	729
325	351	727
326	352	725
327	353	723
328	353	721
329	354	719
330	355	718
331	355	716
332	356	714
333	357	712
334	358	710
335	358	709
336	359	708
337	360	706
338	361	705
339	362	703
340	363	701
341	363	699
342	364	698
343	365	696
344	366	695
345	367	693
346	367	691
347	368	690
348	369	688
349	369	686
350	370	685
351	371	683
352	371	681
353	372	679
354	373	678
355	374	676
356	374	675
357	375	673
358	376	671
359	376	670
360	377	668
361	378	666
362	378	664
363	379	663
364	380	661
365	380	659
366	381	657
367	382	656
368	382	654
369	383	652
370	384	651
371	384	649
372	385	647
373	386	646
374	386	644
375	387	642
376	388	641
377	388	639
378	389	638
379	390	636
380	390	635
381	391	633
382	392	631
383	392	630
384	393	628
385	394	627
386	394	625
387	395	623
388	396	622
389	397	621
390	397	619
391	398	618
392	399	616
393	399	614
394	400	613
395	401	611
396	401	610
397	402	608
398	403	607
399	403	605
400	404	604
401	405	602
402	405	601
403	406	599
404	407	598
405	407	596
406	408	595
407	409	593
408	409	592
409	410	590
410	411	589
411	411	587
412	412	586
413	413	584
414	413	583
415	414	582
416	415	580
417	416	579
418	416	577
419	417	576
420	418	575
421	419	573
422	419	572
423	420	571
424	421	569
425	421	568
426	422	566
427	423	565
428	423	563
429	424	562
430	425	561
431	425	559
432	426	558
433	427	556
434	427	555
435	428	554
436	429	552
437	429	551
438	430	549
439	431	548
440	431	547
441	432	545
442	433	544
443	433	543
444	434	541
445	435	540
446	435	539
447	436	537
448	437	536
449	437	535
450	438	533
451	439	532
452	439	531
453	440	530
454	441	528
455	442	527
456	442	526
457	443	524
458	444	523
459	444	522
460	445	520
461	446	519
462	446	518
463	447	517
464	448	515
465	449	514
466	449	513
467	450	511
468	451	510
469	451	509
470	452	508
471	452	506
472	453	505
473	454	504
474	455	503
475	455	501
476	456	500
477	457	499
478	457	498
479	458	496
480	459	495
481	459	494
482	460	492
483	461	491
484	461	490
485	462	489
486	463	488
487	464	486
488	464	485
489	465	484
490	466	483
491	466	482
492	467	480
493	468	479
494	468	478
495	469	477
496	470	476
497	471	474
498	471	473
499	472	472
500	473	471
501	473	470
502	474	468
503	475	467
504	475	466
505	476	465
506	477	464
507	478	462
508	478	461
509	479	460
510	480	459
511	480	458
512	481	457
513	482	456
514	482	454
515	483	453
516	484	452
517	484	451
518	485	449
519	486	448
520	486	447
521	487	446
522	488	445
523	488	444
524	489	442
525	490	441
526	490	440
527	491	439
528	492	438
529	493	437
530	494	436
531	495	435
532	496	434
533	496	433
534	497	432
535	498	431
536	499	430
537	499	429
538	500	428
539	501	427
540	502	426
541	503	425
542	503	424
543	504	423
544	505	422
545	506	420
546	506	419
547	507	418
548	508	417
549	509	416
550	509	415
551	510	414
552	511	413
553	511	412
554	512	411
555	513	409
556	514	409
557	515	407
558	515	406
559	516	405
560	517	404
561	517	403
562	518	402
563	519	401
564	520	400
565	520	399
566	521	398
567	522	397
568	522	396
569	523	395
570	524	394
571	525	393
572	526	392
573	526	391
574	527	389
575	528	388
576	528	387
577	529	386
578	530	385
579	530	384
580	531	383
581	532	382
582	532	381
583	533	380
584	534	379
585	534	377
586	535	376
587	536	375
588	537	374
589	537	373
590	538	372
591	539	371
592	539	370
593	540	369
594	541	368
595	541	367
596	542	366
597	543	365
598	543	364
599	544	362
600	545	361
601	545	360
602	546	359
603	547	358
604	547	357
605	548	356
606	549	355
607	549	354
608	550	353
609	551	352
610	551	351
611	552	350
612	552	349
613	553	348
614	554	347
615	555	346
616	556	345
617	556	344
618	557	343
619	558	342
620	558	341
621	559	340
622	560	338
623	560	337
624	561	336
625	562	335
626	562	334
627	563	333
628	563	332
629	564	331
630	565	330
631	566	329
632	566	328
633	567	327
634	568	326
