iter	Passed	Remaining
0	115	115331
1	116	58043
2	117	38955
3	118	29509
4	119	23794
5	120	20025
6	122	17418
7	125	15514
8	127	14057
9	128	12755
10	131	11837
11	133	10969
12	135	10249
13	135	9575
14	136	8979
15	138	8501
16	139	8059
17	140	7643
18	140	7262
19	141	6927
20	142	6625
21	142	6356
22	143	6107
23	144	5876
24	145	5661
25	145	5464
26	146	5281
27	147	5109
28	147	4947
29	148	4799
30	149	4676
31	150	4550
32	151	4429
33	151	4312
34	152	4200
35	152	4095
36	153	3996
37	154	3901
38	154	3812
39	155	3726
40	155	3644
41	156	3567
42	156	3493
43	157	3422
44	158	3355
45	158	3290
46	159	3228
47	159	3168
48	160	3111
49	160	3057
50	161	3004
51	161	2953
52	162	2905
53	163	2863
54	164	2825
55	165	2783
56	165	2741
57	166	2700
58	166	2661
59	167	2623
60	167	2585
61	168	2549
62	169	2515
63	169	2481
64	170	2448
65	170	2416
66	171	2385
67	171	2355
68	172	2326
69	172	2298
70	173	2271
71	174	2244
72	174	2218
73	175	2192
74	175	2168
75	176	2144
76	176	2120
77	177	2099
78	178	2078
79	178	2058
80	179	2039
81	180	2019
82	180	1996
83	181	1976
84	181	1957
85	182	1938
86	182	1920
87	183	1901
88	184	1883
89	184	1866
90	185	1849
91	185	1832
92	186	1815
93	186	1799
94	187	1784
95	187	1768
96	188	1753
97	188	1738
98	189	1724
99	190	1710
100	190	1696
101	191	1682
102	191	1669
103	192	1655
104	193	1647
105	194	1637
106	195	1627
107	195	1615
108	196	1604
109	197	1594
110	197	1585
111	198	1574
112	199	1563
113	199	1551
114	200	1540
115	200	1530
116	201	1519
117	201	1509
118	202	1499
119	203	1489
120	203	1480
121	204	1469
122	204	1459
123	205	1450
124	205	1441
125	206	1432
126	206	1422
127	207	1413
128	208	1405
129	208	1398
130	209	1392
131	210	1385
132	211	1377
133	212	1370
134	212	1362
135	213	1354
136	213	1346
137	214	1339
138	214	1331
139	215	1324
140	216	1317
141	216	1308
142	217	1301
143	217	1294
144	218	1287
145	218	1280
146	219	1273
147	220	1266
148	220	1260
149	221	1253
150	221	1246
151	222	1240
152	223	1234
153	224	1230
154	224	1225
155	225	1219
156	226	1213
157	226	1207
158	227	1201
159	227	1196
160	228	1189
161	228	1183
162	229	1177
163	229	1171
164	230	1166
165	230	1160
166	231	1154
167	232	1149
168	232	1143
169	233	1138
170	233	1133
171	234	1127
172	234	1122
173	235	1117
174	235	1112
175	236	1107
176	236	1101
177	237	1098
178	238	1093
179	239	1089
180	239	1085
181	240	1080
182	241	1077
183	241	1072
184	242	1068
185	243	1064
186	243	1060
187	244	1055
188	245	1051
189	245	1046
190	246	1042
191	246	1038
192	247	1034
193	247	1029
194	248	1025
195	248	1021
196	249	1017
197	250	1012
198	250	1008
199	251	1004
200	251	1000
201	252	996
202	252	993
203	253	990
204	254	987
205	255	983
206	255	980
207	256	976
208	256	972
209	257	968
210	258	965
211	258	961
212	259	957
213	259	954
214	260	950
215	260	947
216	261	943
217	262	939
218	262	936
219	263	932
220	263	928
221	264	925
222	264	922
223	265	918
224	265	915
225	266	911
226	266	908
227	267	905
228	268	902
229	268	900
230	269	897
231	270	894
232	270	891
233	271	888
234	271	885
235	272	882
236	273	879
237	273	876
238	274	873
239	274	870
240	275	867
241	275	864
242	276	861
243	277	858
244	277	855
245	278	852
246	278	849
247	279	846
248	279	843
249	280	841
250	280	838
251	281	835
252	281	832
253	282	829
254	283	827
255	283	825
256	284	823
257	285	820
258	285	818
259	286	815
260	287	812
261	287	810
262	288	807
263	288	805
264	289	802
265	289	799
266	290	797
267	290	794
268	291	792
269	292	789
270	292	787
271	293	784
272	293	781
273	294	779
274	294	777
275	295	774
276	295	772
277	296	769
278	296	767
279	297	765
280	298	763
281	298	761
282	299	759
283	300	757
284	301	755
285	301	753
286	302	751
287	303	749
288	303	747
289	304	745
290	305	743
291	305	741
292	306	739
293	306	737
294	307	734
295	308	732
296	308	730
297	309	728
298	309	726
299	310	724
300	310	722
301	311	720
302	312	717
303	312	715
304	313	713
305	313	712
306	314	710
307	315	709
308	316	707
309	316	705
310	317	703
311	317	701
312	318	699
313	319	697
314	319	695
315	320	692
316	320	690
317	321	688
318	321	687
319	322	684
320	322	683
321	323	681
322	324	679
323	324	677
324	325	675
325	325	673
326	326	671
327	326	669
328	327	667
329	327	665
330	328	663
331	329	662
332	330	661
333	330	659
334	331	657
335	331	655
336	332	653
337	332	651
338	333	650
339	333	648
340	334	646
341	335	644
342	335	642
343	336	641
344	336	639
345	337	637
346	337	635
347	338	633
348	338	632
349	339	630
350	340	628
351	340	627
352	341	625
353	341	623
354	342	621
355	343	621
356	344	620
357	345	619
358	346	617
359	346	616
360	347	614
361	347	612
362	348	611
363	348	609
364	349	608
365	350	606
366	350	604
367	351	603
368	351	601
369	352	600
370	352	598
371	353	596
372	353	595
373	354	593
374	355	591
375	355	590
376	356	588
377	356	586
378	357	585
379	357	583
380	358	582
381	359	581
382	360	581
383	361	579
384	362	578
385	363	577
386	363	576
387	364	574
388	365	573
389	366	572
390	366	571
391	367	570
392	368	568
393	369	567
394	369	566
395	370	564
396	370	563
397	371	561
398	371	560
399	372	558
400	373	557
401	373	555
402	374	554
403	375	553
404	375	552
405	376	550
406	377	549
407	377	547
408	378	546
409	378	545
410	379	543
411	379	542
412	380	540
413	380	539
414	381	537
415	382	536
416	382	534
417	383	533
418	383	531
419	384	530
420	384	529
421	385	527
422	385	526
423	386	524
424	386	523
425	387	521
426	387	520
427	388	519
428	389	518
429	390	517
430	390	516
431	391	514
432	392	513
433	392	512
434	393	510
435	394	509
436	394	508
437	395	507
438	395	505
439	396	504
440	396	503
441	397	501
442	398	500
443	398	499
444	399	497
445	399	496
446	400	495
447	400	493
448	401	492
449	401	491
450	402	489
451	403	488
452	403	487
453	404	486
454	404	485
455	405	484
456	406	483
457	407	481
458	407	480
459	408	479
460	408	477
461	409	476
462	409	475
463	410	474
464	411	472
465	411	471
466	412	470
467	412	469
468	413	467
469	413	466
470	414	465
471	414	464
472	415	463
473	416	461
474	416	460
475	417	459
476	417	458
477	418	456
478	419	455
479	419	454
480	420	454
481	421	453
482	422	451
483	422	450
484	423	449
485	423	448
486	424	447
487	424	445
488	425	444
489	426	443
490	426	442
491	427	440
492	427	439
493	428	438
494	428	437
495	429	436
496	429	435
497	430	433
498	431	432
499	431	431
500	432	430
501	432	429
502	433	428
503	433	426
504	434	425
505	435	425
506	436	424
507	436	422
508	437	421
509	437	420
510	438	419
511	438	418
512	439	417
513	440	416
514	440	415
515	441	413
516	441	412
517	442	411
518	442	410
519	443	409
520	443	408
521	444	406
522	444	405
523	445	404
524	445	403
525	446	402
526	447	401
527	447	400
528	448	399
529	448	397
530	449	396
531	450	396
532	450	395
533	451	394
534	452	392
535	452	391
536	453	390
537	453	389
538	454	388
539	454	387
540	455	386
541	455	385
542	456	384
543	457	383
544	457	382
545	458	380
546	458	379
547	459	378
548	459	377
549	460	376
550	460	375
551	461	374
552	462	373
553	462	372
554	463	371
555	463	370
556	464	369
557	465	368
558	465	367
559	466	366
560	467	365
561	467	364
562	468	363
563	469	362
564	469	361
565	470	360
566	470	359
567	471	358
568	471	357
569	472	356
570	473	355
571	473	354
572	474	353
573	474	352
574	475	351
575	475	350
576	476	349
577	476	348
578	477	347
579	478	346
580	478	345
581	479	344
582	479	343
583	480	342
584	481	341
585	482	340
586	482	339
587	483	338
588	483	337
589	484	336
590	484	335
591	485	334
592	486	333
593	486	332
594	487	331
595	487	330
596	488	329
597	488	328
598	489	327
599	489	326
600	490	325
601	490	324
602	491	323
603	491	322
604	492	321
605	493	320
606	493	319
607	494	318
608	494	317
609	495	317
610	496	316
611	497	315
612	498	314
613	498	313
614	499	312
615	500	311
616	501	311
617	501	310
618	502	309
619	502	308
620	503	307
621	503	306
622	504	305
623	504	304
624	505	303
625	505	302
626	506	301
627	507	300
628	507	299
629	508	298
630	508	297
631	509	296
632	509	295
633	510	294
634	511	293
635	512	293
636	513	292
637	513	291
638	514	290
639	515	289
640	515	288
641	516	288
642	517	287
643	518	286
644	518	285
645	519	284
646	520	283
647	520	282
648	521	282
649	522	281
650	522	280
651	523	279
652	524	278
653	525	277
654	525	276
655	526	276
656	527	275
657	527	274
658	528	273
659	529	272
660	529	271
661	530	270
662	531	269
663	531	269
664	532	268
665	533	267
666	533	266
667	534	265
668	535	264
669	535	263
670	536	263
671	536	262
672	537	261
673	538	260
674	538	259
675	539	258
676	539	257
677	540	256
678	541	255
679	542	255
680	542	254
681	543	253
682	544	252
683	544	251
684	545	250
685	545	249
686	546	248
687	546	248
688	547	247
689	548	246
690	548	245
691	549	244
692	549	243
693	550	242
694	550	241
695	551	240
696	551	239
697	552	239
698	552	238
699	553	237
700	554	236
701	554	235
702	555	234
703	556	233
704	557	233
705	557	232
706	558	231
707	559	230
708	559	229
709	560	228
710	561	228
711	561	227
712	562	226
713	562	225
714	563	224
715	564	223
716	564	222
717	565	222
718	565	221
719	566	220
720	567	219
721	567	218
722	568	217
723	569	216
724	569	216
725	570	215
726	571	214
727	572	213
728	573	213
729	573	212
730	574	211
731	575	210
732	575	209
733	576	208
734	576	207
735	577	207
736	578	206
737	578	205
738	579	204
739	579	203
740	580	202
741	580	202
742	581	201
743	582	200
744	582	199
745	583	198
746	583	197
747	584	196
748	585	196
749	586	195
750	586	194
751	587	193
752	588	192
753	588	192
754	589	191
755	589	190
756	590	189
757	591	188
758	591	187
759	592	187
760	592	186
761	593	185
762	594	184
763	594	183
764	595	182
765	595	181
766	596	181
767	596	180
768	597	179
769	597	178
770	598	177
771	598	176
772	599	176
773	600	175
774	600	174
775	601	173
776	602	172
777	603	172
778	603	171
779	604	170
780	604	169
781	605	168
782	606	168
783	606	167
784	607	166
785	607	165
786	608	164
787	609	163
788	609	163
789	610	162
790	610	161
791	611	160
792	611	159
793	612	158
794	612	158
795	613	157
796	614	156
797	614	155
798	615	154
799	616	154
800	616	153
801	617	152
802	618	151
803	618	150
804	619	150
805	619	149
806	620	148
807	621	147
808	621	146
809	622	145
810	622	145
811	623	144
812	623	143
813	624	142
814	625	141
815	625	141
816	626	140
817	626	139
818	627	138
819	628	137
820	628	137
821	629	136
822	629	135
823	630	134
824	631	133
825	631	133
826	632	132
827	633	131
828	633	130
829	634	129
830	634	129
831	635	128
832	636	127
833	636	126
834	637	125
835	637	125
836	638	124
837	638	123
838	639	122
839	639	121
840	640	121
841	641	120
842	641	119
843	642	118
844	642	117
845	643	117
846	643	116
847	644	115
848	644	114
849	645	113
850	646	113
851	647	112
852	647	111
853	648	110
854	648	110
855	649	109
856	650	108
857	650	107
858	651	106
859	651	106
860	652	105
861	652	104
862	653	103
863	654	102
864	654	102
865	655	101
866	655	100
867	656	99
868	656	99
869	657	98
870	657	97
871	658	96
872	658	95
873	659	95
874	660	94
875	660	93
876	661	92
877	662	92
878	662	91
879	663	90
880	664	89
881	664	88
882	665	88
883	665	87
884	666	86
885	666	85
886	667	85
887	668	84
888	668	83
889	669	82
890	669	81
891	670	81
892	670	80
893	671	79
894	671	78
895	672	78
896	672	77
897	673	76
898	674	75
899	674	74
900	675	74
901	675	73
902	676	72
903	677	71
904	678	71
905	678	70
906	679	69
907	680	68
908	680	68
909	681	67
910	681	66
911	682	65
912	682	65
913	683	64
914	683	63
915	684	62
916	685	62
917	685	61
918	686	60
919	686	59
920	687	58
921	688	58
922	688	57
923	689	56
924	689	55
925	690	55
926	691	54
927	691	53
928	692	52
929	693	52
930	693	51
931	694	50
932	695	49
933	695	49
934	696	48
935	697	47
936	697	46
937	698	46
938	698	45
939	699	44
940	699	43
941	700	43
942	700	42
943	701	41
944	702	40
945	702	40
946	703	39
947	703	38
948	704	37
949	704	37
950	705	36
951	705	35
952	707	34
953	707	34
954	708	33
